"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","plot_label"
"A_24_P118247",0.758691324999999,7.5614266625,3.1898826630265,0.0151399521062966,0.0151399521062966,-4.1250022590127,"CTU2","CTU2"
"A_24_P269814",-0.636618250000001,8.297704375,-3.18986238295962,0.0151403807955562,0.0151403807955562,-4.12500565510224,"PLEKHA1","PLEKHA1"
"A_21_P0009183",0.522021000000001,3.144535725,3.1785532380422,0.0153814689558145,0.0153814689558145,-4.12690361977356,"XLOC_012338","XLOC_012338"
"A_21_P0008759",0.684132325000001,7.2991428375,3.17679567735206,0.0154193029885198,0.0154193029885198,-4.12719932644163,"PEAK1","PEAK1"
"A_33_P3315564",1.21077475,2.3653342,3.17588130926968,0.0154390253408066,0.0154390253408066,-4.12735324645559,"SULT1C3","SULT1C3"
"A_21_P0007572",1.025657325,4.5501699125,3.17579304813434,0.0154409305027595,0.0154409305027595,-4.12736810674626,"XLOC_009788","XLOC_009788"
"A_23_P205789",0.751216599999998,8.7752487,3.17405433375524,0.0154785127354553,0.0154785127354553,-4.12766095230977,"GABPB1","GABPB1"
"A_23_P321511",1.199198875,7.6808746375,3.17353544577064,0.0154897473759938,0.0154897473759938,-4.12774838474023,"MARCH3","MARCH3"
"A_33_P3305399",0.467702475,6.9449742625,3.16929306616961,0.0155819277355487,0.0155819277355487,-4.12846387870597,"SETDB1","SETDB1"
"A_23_P121441",1.02141935,2.736642325,3.1661425010136,0.0156507632533117,0.0156507632533117,-4.12899598908855,"NLGN4Y","NLGN4Y"
"A_21_P0006239",-0.592316875,4.7131136875,-3.16605628015221,0.0156526516144364,0.0156526516144364,-4.12901056029571,"LOC100506532","LOC100506532"
"A_33_P3294372",1.75272425,7.299466775,3.16600034158821,0.0156538768795851,0.0156538768795851,-4.12902001409421,"LOC100128881","LOC100128881"
"A_21_P0011317",0.969108050000001,5.29753735,3.1621873171324,0.0157376380933676,0.0157376380933676,-4.12966490634829,"XLOC_l2_004640","XLOC_l2_004640"
"A_33_P3483634",-1.145780975,1.9708310875,-3.16178827619706,0.0157464314679368,0.0157464314679368,-4.12973245022537,"LOC285593","LOC285593"
"A_21_P0006865",1.4214054,2.431580325,3.16081528400573,0.0157678945602567,0.0157678945602567,-4.12989718761884,"LOC100506835","LOC100506835"
"A_21_P0009300",0.8907944,1.96602735,3.16007102340963,0.0157843331541757,0.0157843331541757,-4.1300232399542,"XLOC_012397","XLOC_012397"
"A_23_P372946",2.49422975,3.50254695,3.16006884204124,0.0157843813612342,0.0157843813612342,-4.13002360945642,"TM4SF19","TM4SF19"
"A_33_P3410654",-1.891566525,3.7392558875,-3.15824352912852,0.015824774870019,0.015824774870019,-4.13033290776477,"CLEC12B","CLEC12B"
"A_21_P0002779",1.4243683,3.37950775,3.15815826355927,0.0158266644586954,0.0158266644586954,-4.13034736126318,"XLOC_002867","XLOC_002867"
"A_23_P102925",0.53530175,9.592340875,3.15708696328695,0.0158504262870304,0.0158504262870304,-4.13052899929072,"PWP2","PWP2"
"A_23_P157569",0.991110750000002,9.846192625,3.15704583310392,0.0158513393273214,0.0158513393273214,-4.13053597436433,"ADHFE1","ADHFE1"
"A_19_P00321259",-1.551393425,6.0094914625,-3.1566474790474,0.0158601852076248,0.0158601852076248,-4.13060353503856,"LOC100505633","LOC100505633"
"A_21_P0014835",1.225083075,2.7451761875,3.15521845787363,0.0158919614925438,0.0158919614925438,-4.13084598128766,"LOC100652877","LOC100652877"
"A_21_P0014414",0.852334925000001,4.5072111125,3.15211127314739,0.015961288576563,0.015961288576563,-4.13137360130959,"LOC100506369","LOC100506369"
"A_23_P152906",-2.609783375,4.3974118625,-3.15198777744202,0.0159640506493998,0.0159640506493998,-4.13139458465364,"ALOX12","ALOX12"
"A_33_P3213695",0.8440508,6.95279195,3.15015130832567,0.0160051848220379,0.0160051848220379,-4.13170673903064,"CAB39L","CAB39L"
"A_33_P3304182",1.142589275,2.0876141125,3.14927295644322,0.0160248985240073,0.0160248985240073,-4.13185611474201,"","A_33_P3304182"
"A_33_P3264667",1.106748475,3.1877730125,3.14871714511081,0.0160373865059422,0.0160373865059422,-4.13195066397901,"CYP26C1","CYP26C1"
"A_21_P0007663",1.206090075,3.7576872125,3.14627140313263,0.0160924608689359,0.0160924608689359,-4.13236694887605,"XLOC_009944","XLOC_009944"
"A_33_P3225327",0.617460250000001,7.821988625,3.1442672025582,0.0161377426716798,0.0161377426716798,-4.13270837030314,"ATP13A3","ATP13A3"
"A_23_P120863",1.190322025,4.5630098375,3.1437463207934,0.0161495334059312,0.0161495334059312,-4.13279714687672,"GAL3ST1","GAL3ST1"
"A_21_P0002511",0.538183125000001,6.2774520375,3.14306638745928,0.0161649382637066,0.0161649382637066,-4.13291305803204,"XLOC_002344","XLOC_002344"
"A_33_P3260530",-1.401753375,2.8693454125,-3.14076828255537,0.0162171211159789,0.0162171211159789,-4.13330504885681,"KANK4","KANK4"
"A_33_P3859897",-1.454348275,3.0577627375,-3.13953999161157,0.0162450853871511,0.0162450853871511,-4.13351470126383,"","A_33_P3859897"
"A_23_P24469",2.03529615,4.020978025,3.13884481157116,0.0162609351873069,0.0162609351873069,-4.13363340255036,"CSRP3","CSRP3"
"A_33_P3357600",0.779638875,3.6230001875,3.13842301711127,0.0162705599470193,0.0162705599470193,-4.13370543888851,"TRIM3","TRIM3"
"A_33_P3295096",-1.027712325,2.2303955375,-3.1338900325214,0.016374380286129,0.016374380286129,-4.13448033908984,"NAG20","NAG20"
"A_24_P7179",0.87557385,7.585722075,3.13245849645106,0.0164073136494194,0.0164073136494194,-4.13472533451916,"DIP2A","DIP2A"
"A_21_P0010301",1.422468225,3.2942387375,3.13229572639904,0.0164110627392375,0.0164110627392375,-4.13475319972322,"XLOC_014118","XLOC_014118"
"A_21_P0001131",1.27180595,2.9871672,3.13171084210506,0.0164245419377864,0.0164245419377864,-4.13485334249295,"XLOC_000836","XLOC_000836"
"A_23_P123108",0.593599975,6.3431340125,3.13082624743853,0.0164449506491624,0.0164449506491624,-4.13500484353877,"AKAP9","AKAP9"
"A_23_P133095",-0.44868625,11.401973875,-3.12794673080089,0.0165115720037485,0.0165115720037485,-4.13549836097615,"RAPGEF2","RAPGEF2"
"A_23_P61031",1.225592875,2.6604542375,3.12684694231877,0.0165370928475871,0.0165370928475871,-4.1356869955675,"ZBBX","ZBBX"
"A_24_P92680",1.936032675,2.9695450375,3.12404748783836,0.0166022445806867,0.0166022445806867,-4.13616751183558,"","A_24_P92680"
"A_21_P0012505",0.6774817,6.12762815,3.12280348388016,0.0166312839685721,0.0166312839685721,-4.1363812050528,"XLOC_l2_009940","XLOC_l2_009940"
"A_21_P0004740",-1.458678675,2.0943447625,-3.1204717805172,0.0166858598468028,0.0166858598468028,-4.13678201434885,"XLOC_005642","XLOC_005642"
"A_23_P92895",0.828408250000001,10.947888375,3.11967062793495,0.0167046556233002,0.0167046556233002,-4.13691981095906,"RBM22","RBM22"
"A_23_P390722",0.645396400000001,7.7893338,3.11951160946182,0.0167083890234912,0.0167083890234912,-4.13694716680703,"TOR1AIP2","TOR1AIP2"
"A_21_P0014259",0.421965424999998,5.1673147875,3.11925113812461,0.0167145062308324,0.0167145062308324,-4.13699197910216,"LOC100506167","LOC100506167"
"A_23_P210379",0.443532499999998,11.189639,3.1192045825201,0.0167155998471553,0.0167155998471553,-4.13699998914012,"ARFGAP1","ARFGAP1"
"A_23_P258194",-1.027441975,4.1982532625,-3.11901141368467,0.0167201383014374,0.0167201383014374,-4.13703322595996,"AIFM3","AIFM3"
"A_33_P3424694",0.78256605,5.434830275,3.11779113118401,0.0167488388765325,0.0167488388765325,-4.13724324540404,"","A_33_P3424694"
"A_24_P326739",-1.023137225,2.3635934875,-3.11676117254822,0.0167731039244041,0.0167731039244041,-4.13742058457961,"GLS2","GLS2"
